#t x y z vx vy vz
0.72 -80.04 30.09 -26.46 123.96 209.81 197.14
0.73 -78.75 32.23 -24.44 128.40 208.07 198.60
0.74 -77.41 34.35 -22.40 132.89 206.15 199.98
0.75 -76.03 36.45 -20.35 137.41 204.07 201.28
0.76 -74.60 38.52 -18.28 141.95 201.81 202.48
0.77 -73.13 40.57 -16.21 146.50 199.37 203.58
0.78 -71.61 42.60 -14.12 151.05 196.76 204.58
0.79 -70.04 44.60 -12.02 155.58 193.97 205.46
0.80 -68.42 46.56 -9.92 160.09 191.00 206.22
0.81 -66.76 48.50 -7.80 164.56 187.86 206.85
0.82 -65.06 50.41 -5.69 168.97 184.55 207.34
0.83 -63.31 52.28 -3.56 173.31 181.08 207.70
0.84 -61.51 54.11 -1.44 177.57 177.45 207.92
0.85 -59.68 55.90 0.69 181.73 173.67 207.96
0.86 -57.80 57.66 2.81 185.77 169.76 207.80
0.87 -55.88 59.38 4.94 189.69 165.72 207.48
0.88 -53.92 61.05 7.06 193.47 161.58 207.02
0.89 -51.92 62.68 9.17 197.10 157.34 206.42
0.90 -49.89 64.27 11.28 200.57 153.01 205.68
0.91 -47.82 65.81 13.38 203.87 148.62 204.80
0.92 -45.72 67.31 15.47 207.00 144.16 203.79
0.93 -43.59 68.76 17.55 209.95 139.67 202.65
0.94 -41.42 70.16 19.61 212.72 135.15 201.40
0.95 -39.24 71.52 21.66 215.30 130.61 200.04
0.96 -37.02 72.84 23.70 217.70 126.07 198.57
0.97 -34.78 74.10 25.73 219.91 121.53 197.00
0.98 -32.52 75.32 27.73 221.95 117.02 195.35
0.99 -30.24 76.50 29.72 223.80 112.54 193.62
1.00 -27.95 77.62 31.69 225.47 108.11 191.81
1.01 -25.63 78.71 33.64 226.98 103.72 189.94
1.02 -23.31 79.75 35.58 228.31 99.39 188.02
1.03 -20.96 80.74 37.49 229.49 95.12 186.04
1.04 -18.61 81.69 39.38 230.51 90.93 184.03
1.05 -16.25 82.60 41.25 231.39 86.81 181.98
1.06 -13.88 83.47 43.10 232.12 82.77 179.90
1.07 -11.50 84.29 44.93 232.72 78.82 177.79
1.08 -9.12 85.08 46.74 233.19 74.95 175.67
1.09 -6.73 85.83 48.53 233.54 71.17 173.54
1.10 -4.34 86.54 50.29 233.78 67.49 171.40
1.11 -1.95 87.21 52.03 233.91 63.89 169.26
1.12 0.44 87.84 53.75 233.94 60.38 167.12
1.13 2.83 88.44 55.45 233.87 56.97 164.98
1.14 5.22 89.01 57.13 233.72 53.65 162.85
1.15 7.61 89.54 58.78 233.49 50.42 160.74
1.16 10.00 90.04 60.41 233.18 47.28 158.63
1.17 12.38 90.51 62.03 232.80 44.22 156.54
1.18 14.76 90.95 63.62 232.36 41.26 154.47
1.19 17.13 91.35 65.19 231.86 38.38 152.42
1.20 19.50 91.73 66.73 231.30 35.58 150.39
1.21 21.86 92.08 68.26 230.69 32.87 148.38
1.22 24.22 92.40 69.77 230.03 30.23 146.39
1.23 26.57 92.70 71.26 229.33 27.68 144.43
1.24 28.91 92.97 72.72 228.59 25.20 142.50
1.25 31.24 93.22 74.17 227.81 22.79 140.58
1.26 33.57 93.44 75.60 227.00 20.46 138.70
1.27 35.89 93.63 77.01 226.16 18.19 136.84
1.28 38.20 93.81 78.40 225.29 16.00 135.00
1.29 40.50 93.96 79.77 224.39 13.86 133.20
1.30 42.79 94.09 81.12 223.48 11.80 131.42
1.31 45.07 94.20 82.46 222.54 9.79 129.66
1.32 47.34 94.29 83.78 221.59 7.84 127.94
1.33 49.60 94.36 85.08 220.62 5.95 126.23
1.34 51.85 94.42 86.36 219.63 4.12 124.56
1.35 54.09 94.45 87.62 218.63 2.34 122.91
1.36 56.32 94.46 88.87 217.63 0.61 121.29
1.37 58.54 94.46 90.10 216.61 -1.06 119.69
1.38 60.75 94.44 91.32 215.58 -2.69 118.12
1.39 62.95 94.41 92.52 214.54 -4.27 116.57
1.40 65.14 94.36 93.70 213.50 -5.81 115.05
1.41 67.32 94.29 94.87 212.45 -7.30 113.55
1.42 69.49 94.21 96.03 211.40 -8.75 112.08
1.43 71.64 94.11 97.17 210.35 -10.15 110.63
1.44 73.79 94.00 98.29 209.29 -11.52 109.20
1.45 75.92 93.87 99.40 208.23 -12.85 107.80
1.46 78.05 93.74 100.50 207.17 -14.14 106.42
1.47 80.16 93.59 101.58 206.11 -15.40 105.05
1.48 82.26 93.42 102.64 205.05 -16.62 103.72
1.49 84.36 93.25 103.70 203.99 -17.80 102.40
1.50 86.44 93.06 104.74 202.93 -18.96 101.10
1.51 88.51 92.86 105.77 201.88 -20.08 99.82
1.52 90.57 92.65 106.78 200.82 -21.18 98.56
1.53 92.61 92.43 107.78 199.77 -22.24 97.33
1.54 94.65 92.19 108.77 198.72 -23.27 96.11
1.55 96.68 91.95 109.75 197.67 -24.28 94.91
1.56 98.70 91.70 110.71 196.63 -25.26 93.72
1.57 100.70 91.43 111.67 195.59 -26.22 92.56
1.58 102.70 91.16 112.61 194.55 -27.15 91.41
1.59 104.68 90.88 113.54 193.52 -28.05 90.28
1.60 106.65 90.59 114.45 192.49 -28.93 89.17
1.61 108.62 90.29 115.36 191.47 -29.79 88.08
1.62 110.57 89.98 116.25 190.45 -30.63 86.99
1.63 112.51 89.66 117.14 189.44 -31.45 85.93
1.64 114.45 89.33 118.01 188.43 -32.24 84.88
1.65 116.37 89.00 118.88 187.43 -33.02 83.85
1.66 118.28 88.66 119.73 186.43 -33.78 82.83
1.67 120.18 88.31 120.57 185.43 -34.51 81.82
1.68 122.07 87.95 121.40 184.45 -35.23 80.83
1.69 123.95 87.59 122.22 183.46 -35.93 79.86
1.70 125.82 87.22 123.04 182.49 -36.62 78.89
1.71 127.69 86.84 123.84 181.51 -37.28 77.94
1.72 129.54 86.46 124.63 180.55 -37.93 77.01
1.73 131.38 86.06 125.41 179.59 -38.57 76.08
1.74 133.21 85.67 126.19 178.63 -39.19 75.17
1.75 135.03 85.26 126.95 177.68 -39.79 74.27
1.76 136.85 84.85 127.70 176.74 -40.38 73.39
1.77 138.65 84.44 128.45 175.80 -40.96 72.51
1.78 140.44 84.01 129.19 174.87 -41.52 71.65
1.79 142.22 83.59 129.92 173.94 -42.07 70.80
1.80 144.00 83.15 130.64 173.02 -42.61 69.95
1.81 145.76 82.72 131.35 172.10 -43.13 69.12
1.82 147.52 82.27 132.05 171.19 -43.65 68.30
1.83 149.27 81.82 132.74 170.29 -44.15 67.49
1.84 151.00 81.37 133.43 169.39 -44.64 66.70
1.85 152.73 80.91 134.11 168.50 -45.11 65.91
1.86 154.45 80.45 134.78 167.61 -45.58 65.13
1.87 156.16 79.98 135.44 166.73 -46.03 64.36
1.88 157.86 79.50 136.10 165.85 -46.48 63.60
1.89 159.55 79.03 136.74 164.98 -46.92 62.84
1.90 161.23 78.55 137.38 164.11 -47.34 62.10
1.91 162.91 78.06 138.01 163.25 -47.76 61.37
1.92 164.57 77.57 138.64 162.40 -48.16 60.64
1.93 166.23 77.07 139.25 161.55 -48.56 59.93
1.94 167.88 76.58 139.86 160.70 -48.95 59.22
1.95 169.52 76.07 140.46 159.86 -49.33 58.52
1.96 171.15 75.57 141.06 159.03 -49.70 57.83
1.97 172.77 75.06 141.65 158.20 -50.06 57.15
1.98 174.38 74.54 142.23 157.38 -50.42 56.47
1.99 175.99 74.03 142.80 156.56 -50.76 55.80
2.00 177.59 73.50 143.37 155.75 -51.10 55.14
2.01 179.17 72.98 143.93 154.94 -51.44 54.49
2.02 180.75 72.45 144.48 154.13 -51.76 53.84
2.03 182.33 71.92 145.03 153.33 -52.08 53.21
2.04 183.89 71.39 145.57 152.54 -52.39 52.57
2.05 185.45 70.85 146.11 151.75 -52.69 51.95
2.06 187.00 70.31 146.63 150.97 -52.99 51.33
2.07 188.54 69.77 147.16 150.19 -53.28 50.72
2.08 190.07 69.22 147.67 149.41 -53.57 50.11
2.09 191.59 68.67 148.18 148.64 -53.84 49.51
2.10 193.11 68.12 148.69 147.88 -54.12 48.92
2.11 194.62 67.56 149.18 147.11 -54.38 48.34
2.12 196.12 67.01 149.67 146.36 -54.64 47.76
2.13 197.61 66.45 150.16 145.61 -54.90 47.18
2.14 199.10 65.88 150.64 144.86 -55.15 46.61
2.15 200.57 65.32 151.11 144.11 -55.39 46.05
2.16 202.04 64.75 151.58 143.37 -55.63 45.49
2.17 203.51 64.18 152.04 142.64 -55.86 44.94
2.18 204.96 63.61 152.50 141.91 -56.09 44.39
2.19 206.41 63.03 152.95 141.18 -56.32 43.85
2.20 207.85 62.46 153.40 140.46 -56.54 43.32
2.21 209.28 61.88 153.84 139.74 -56.75 42.79
2.22 210.71 61.29 154.27 139.03 -56.96 42.26
2.23 212.12 60.71 154.70 138.32 -57.16 41.74
2.24 213.54 60.13 155.13 137.61 -57.36 41.23
2.25 214.94 59.54 155.55 136.91 -57.56 40.72
2.26 216.34 58.95 155.96 136.21 -57.75 40.21
2.27 217.73 58.36 156.37 135.52 -57.94 39.71
2.28 219.11 57.76 156.77 134.83 -58.12 39.22
2.29 220.48 57.17 157.17 134.14 -58.30 38.72
2.30 221.85 56.57 157.56 133.46 -58.48 38.24
2.31 223.21 55.97 157.95 132.78 -58.65 37.75
2.32 224.57 55.37 158.34 132.10 -58.82 37.28
2.33 225.92 54.77 158.71 131.43 -58.98 36.80
2.34 227.26 54.16 159.09 130.76 -59.14 36.33
2.35 228.59 53.56 159.46 130.10 -59.30 35.87
2.36 229.92 52.95 159.82 129.44 -59.45 35.40
2.37 231.24 52.34 160.18 128.78 -59.60 34.95
2.38 232.55 51.73 160.54 128.12 -59.75 34.49
2.39 233.86 51.12 160.89 127.47 -59.89 34.04
2.40 235.16 50.51 161.23 126.83 -60.03 33.60
2.41 236.45 49.89 161.57 126.18 -60.17 33.16
2.42 237.74 49.28 161.91 125.54 -60.31 32.72
2.43 239.02 48.66 162.24 124.90 -60.44 32.28
2.44 240.29 48.04 162.57 124.27 -60.56 31.85
2.45 241.56 47.42 162.90 123.64 -60.69 31.42
2.46 242.82 46.80 163.21 123.01 -60.81 31.00
2.47 244.08 46.18 163.53 122.38 -60.93 30.58
2.48 245.33 45.55 163.84 121.76 -61.05 30.16
2.49 246.57 44.93 164.15 121.14 -61.16 29.75
2.50 247.80 44.30 164.45 120.53 -61.27 29.34
2.51 249.03 43.67 164.75 119.92 -61.38 28.93
2.52 250.26 43.05 165.04 119.31 -61.49 28.53
2.53 251.47 42.42 165.33 118.70 -61.59 28.13
2.54 252.69 41.79 165.62 118.10 -61.69 27.73
2.55 253.89 41.16 165.90 117.49 -61.79 27.34
2.56 255.09 40.52 166.18 116.90 -61.89 26.95
2.57 256.28 39.89 166.45 116.30 -61.98 26.56
2.58 257.47 39.25 166.72 115.71 -62.07 26.17
2.59 258.65 38.62 166.98 115.12 -62.16 25.79
2.60 259.82 37.98 167.25 114.53 -62.25 25.41
2.61 260.99 37.35 167.50 113.95 -62.33 25.03
2.62 262.15 36.71 167.76 113.37 -62.41 24.66
2.63 263.31 36.07 168.01 112.79 -62.49 24.29
2.64 264.46 35.43 168.25 112.21 -62.57 23.92
2.65 265.60 34.79 168.50 111.64 -62.65 23.56
2.66 266.74 34.15 168.74 111.07 -62.72 23.19
2.67 267.88 33.51 168.97 110.50 -62.79 22.83
2.68 269.00 32.86 169.20 109.93 -62.86 22.48
2.69 270.12 32.22 169.43 109.37 -62.93 22.12
2.70 271.24 31.58 169.66 108.81 -63.00 21.77
2.71 272.35 30.93 169.88 108.25 -63.06 21.42
2.72 273.45 30.29 170.09 107.69 -63.12 21.07
2.73 274.55 29.64 170.31 107.14 -63.18 20.73
2.74 275.65 29.00 170.52 106.59 -63.24 20.39
2.75 276.73 28.35 170.73 106.04 -63.30 20.05
2.76 277.82 27.70 170.93 105.49 -63.36 19.71
2.77 278.89 27.05 171.13 104.95 -63.41 19.37
2.78 279.96 26.40 171.32 104.40 -63.46 19.04
2.79 281.03 25.75 171.52 103.86 -63.51 18.71
2.80 282.09 25.10 171.71 103.33 -63.56 18.38
2.81 283.14 24.45 171.89 102.79 -63.61 18.05
2.82 284.19 23.80 172.08 102.26 -63.65 17.73
2.83 285.23 23.15 172.26 101.73 -63.70 17.41
2.84 286.27 22.50 172.43 101.20 -63.74 17.09
2.85 287.30 21.85 172.61 100.67 -63.78 16.77
2.86 288.33 21.20 172.78 100.14 -63.82 16.46
2.87 289.35 20.54 172.94 99.62 -63.86 16.14
2.88 290.37 19.89 173.11 99.10 -63.89 15.83
2.89 291.38 19.24 173.27 98.58 -63.93 15.52
2.90 292.38 18.58 173.42 98.07 -63.96 15.21
2.91 293.38 17.93 173.58 97.55 -63.99 14.91
2.92 294.38 17.27 173.73 97.04 -64.02 14.60
2.93 295.37 16.62 173.88 96.53 -64.05 14.30
2.94 296.35 15.96 174.02 96.02 -64.08 14.00
2.95 297.33 15.31 174.16 95.51 -64.11 13.71
2.96 298.31 14.65 174.30 95.01 -64.13 13.41
2.97 299.28 14.00 174.44 94.51 -64.16 13.12
2.98 300.24 13.34 174.57 94.00 -64.18 12.82
2.99 301.20 12.68 174.70 93.51 -64.20 12.53
3.00 302.15 12.03 174.83 93.01 -64.22 12.24
3.01 303.10 11.37 174.95 92.51 -64.24 11.96
3.02 304.04 10.71 175.07 92.02 -64.26 11.67
3.03 304.98 10.06 175.19 91.53 -64.28 11.39
3.04 305.92 9.40 175.30 91.04 -64.29 11.11
3.05 306.84 8.74 175.42 90.55 -64.31 10.83
3.06 307.77 8.08 175.52 90.06 -64.32 10.55
3.07 308.69 7.42 175.63 89.58 -64.33 10.27
3.08 309.60 6.77 175.74 89.09 -64.34 10.00
3.09 310.51 6.11 175.84 88.61 -64.35 9.72
3.10 311.41 5.45 175.93 88.13 -64.36 9.45
3.11 312.31 4.79 176.03 87.65 -64.37 9.18
3.12 313.21 4.13 176.12 87.18 -64.38 8.91
3.13 314.10 3.48 176.21 86.70 -64.38 8.64
3.14 314.98 2.82 176.30 86.23 -64.39 8.38
3.15 315.86 2.16 176.38 85.76 -64.39 8.11
3.16 316.73 1.50 176.46 85.29 -64.39 7.85
3.17 317.60 0.84 176.54 84.82 -64.39 7.59
3.18 318.47 0.18 176.62 84.35 -64.40 7.33
3.19 319.33 -0.48 176.69 83.89 -64.40 7.07
3.20 320.18 -1.13 176.76 83.42 -64.39 6.81
3.21 321.04 -1.79 176.83 82.96 -64.39 6.56
3.22 321.88 -2.45 176.90 82.50 -64.39 6.31
3.23 322.72 -3.11 176.96 82.04 -64.38 6.05
3.24 323.56 -3.77 177.02 81.58 -64.38 5.80
3.25 324.39 -4.43 177.08 81.13 -64.37 5.55
3.26 325.22 -5.09 177.14 80.67 -64.37 5.30
3.27 326.04 -5.74 177.19 80.22 -64.36 5.06
3.28 326.86 -6.40 177.24 79.76 -64.35 4.81
3.29 327.67 -7.06 177.29 79.31 -64.34 4.56
3.30 328.48 -7.72 177.33 78.86 -64.33 4.32
3.31 329.29 -8.38 177.38 78.42 -64.32 4.08
3.32 330.09 -9.03 177.42 77.97 -64.31 3.84
3.33 330.88 -9.69 177.45 77.52 -64.30 3.60
3.34 331.67 -10.35 177.49 77.08 -64.28 3.36
3.35 332.46 -11.01 177.52 76.64 -64.27 3.12
3.36 333.24 -11.66 177.55 76.20 -64.25 2.89
3.37 334.02 -12.32 177.58 75.76 -64.24 2.65
3.38 334.79 -12.98 177.61 75.32 -64.22 2.42
3.39 335.56 -13.63 177.63 74.88 -64.20 2.19
3.40 336.32 -14.29 177.65 74.44 -64.19 1.96
3.41 337.08 -14.95 177.67 74.01 -64.17 1.73
3.42 337.83 -15.60 177.69 73.57 -64.15 1.50
3.43 338.58 -16.26 177.70 73.14 -64.13 1.27
3.44 339.33 -16.91 177.71 72.71 -64.11 1.04
3.45 340.07 -17.57 177.72 72.28 -64.08 0.82
3.46 340.81 -18.23 177.73 71.85 -64.06 0.59
3.47 341.54 -18.88 177.74 71.42 -64.04 0.37
3.48 342.27 -19.54 177.74 71.00 -64.01 0.15
3.49 342.99 -20.19 177.74 70.57 -63.99 -0.07
3.50 343.71 -20.84 177.74 70.15 -63.96 -0.29
3.51 344.43 -21.50 177.73 69.73 -63.94 -0.51
3.52 345.14 -22.15 177.73 69.30 -63.91 -0.73
3.53 345.85 -22.81 177.72 68.88 -63.88 -0.95
3.54 346.55 -23.46 177.71 68.46 -63.86 -1.16
3.55 347.25 -24.11 177.69 68.05 -63.83 -1.38
3.56 347.94 -24.76 177.68 67.63 -63.80 -1.59
3.57 348.63 -25.42 177.66 67.21 -63.77 -1.80
3.58 349.31 -26.07 177.64 66.80 -63.74 -2.02
3.59 350.00 -26.72 177.62 66.38 -63.71 -2.23
3.60 350.67 -27.37 177.60 65.97 -63.67 -2.44
3.61 351.35 -28.02 177.57 65.56 -63.64 -2.65
3.62 352.01 -28.67 177.54 65.15 -63.61 -2.85
3.63 352.68 -29.32 177.51 64.74 -63.58 -3.06
3.64 353.34 -29.97 177.48 64.33 -63.54 -3.27
3.65 353.99 -30.62 177.45 63.92 -63.51 -3.47
3.66 354.64 -31.27 177.41 63.51 -63.47 -3.68
3.67 355.29 -31.92 177.37 63.11 -63.43 -3.88
3.68 355.94 -32.57 177.33 62.70 -63.40 -4.08
3.69 356.57 -33.22 177.29 62.30 -63.36 -4.28
3.70 357.21 -33.87 177.24 61.90 -63.32 -4.48
3.71 357.84 -34.51 177.19 61.49 -63.28 -4.68
3.72 358.47 -35.16 177.15 61.09 -63.25 -4.88
3.73 359.09 -35.81 177.09 60.69 -63.21 -5.08
3.74 359.71 -36.45 177.04 60.29 -63.17 -5.28
3.75 360.32 -37.10 176.99 59.90 -63.12 -5.47
3.76 360.93 -37.74 176.93 59.50 -63.08 -5.67
3.77 361.54 -38.39 176.87 59.10 -63.04 -5.86
3.78 362.14 -39.03 176.81 58.71 -63.00 -6.06
3.79 362.74 -39.68 176.75 58.31 -62.96 -6.25
3.80 363.34 -40.32 176.68 57.92 -62.91 -6.44
3.81 363.93 -40.96 176.62 57.53 -62.87 -6.63
3.82 364.51 -41.61 176.55 57.13 -62.83 -6.82
3.83 365.10 -42.25 176.48 56.74 -62.78 -7.01
3.84 365.67 -42.89 176.40 56.35 -62.73 -7.20
3.85 366.25 -43.53 176.33 55.96 -62.69 -7.39
3.86 366.82 -44.17 176.25 55.58 -62.64 -7.58
3.87 367.38 -44.81 176.17 55.19 -62.60 -7.76
3.88 367.95 -45.45 176.09 54.80 -62.55 -7.95
3.89 368.51 -46.09 176.01 54.42 -62.50 -8.13
3.90 369.06 -46.73 175.93 54.03 -62.45 -8.32
3.91 369.61 -47.37 175.84 53.65 -62.40 -8.50
3.92 370.16 -48.01 175.75 53.26 -62.35 -8.68
3.93 370.70 -48.65 175.66 52.88 -62.30 -8.86
3.94 371.24 -49.28 175.57 52.50 -62.25 -9.05
3.95 371.77 -49.92 175.48 52.12 -62.20 -9.23
3.96 372.30 -50.56 175.38 51.74 -62.15 -9.41
3.97 372.83 -51.19 175.29 51.36 -62.10 -9.58
3.98 373.36 -51.83 175.19 50.98 -62.05 -9.76
3.99 373.87 -52.46 175.09 50.60 -61.99 -9.94
4.00 374.39 -53.09 174.98 50.22 -61.94 -10.12
4.01 374.90 -53.73 174.88 49.85 -61.89 -10.29
4.02 375.41 -54.36 174.77 49.47 -61.83 -10.47
4.03 375.91 -54.99 174.67 49.10 -61.78 -10.64
4.04 376.41 -55.62 174.56 48.72 -61.72 -10.82
4.05 376.91 -56.25 174.44 48.35 -61.67 -10.99
4.06 377.40 -56.88 174.33 47.98 -61.61 -11.16
4.07 377.89 -57.51 174.22 47.60 -61.56 -11.34
4.08 378.38 -58.14 174.10 47.23 -61.50 -11.51
4.09 378.86 -58.77 173.98 46.86 -61.44 -11.68
4.10 379.34 -59.40 173.86 46.49 -61.38 -11.85
4.11 379.81 -60.03 173.74 46.12 -61.33 -12.02
4.12 380.28 -60.65 173.61 45.75 -61.27 -12.19
4.13 380.74 -61.28 173.49 45.38 -61.21 -12.36
4.14 381.21 -61.91 173.36 45.02 -61.15 -12.52
4.15 381.67 -62.53 173.23 44.65 -61.09 -12.69
4.16 382.12 -63.16 173.10 44.28 -61.03 -12.86
4.17 382.57 -63.78 172.97 43.92 -60.97 -13.02
4.18 383.02 -64.40 172.84 43.55 -60.91 -13.19
4.19 383.46 -65.03 172.70 43.19 -60.84 -13.35
4.20 383.90 -65.65 172.56 42.83 -60.78 -13.52
4.21 384.34 -66.27 172.42 42.46 -60.72 -13.68
4.22 384.77 -66.89 172.28 42.10 -60.66 -13.84
4.23 385.20 -67.51 172.14 41.74 -60.59 -14.00
4.24 385.62 -68.13 172.00 41.38 -60.53 -14.17
4.25 386.05 -68.75 171.85 41.02 -60.47 -14.33
4.26 386.46 -69.37 171.70 40.66 -60.40 -14.49
4.27 386.88 -69.98 171.55 40.30 -60.34 -14.65
4.28 387.29 -70.60 171.40 39.94 -60.27 -14.81
4.29 387.69 -71.22 171.25 39.58 -60.21 -14.96
4.30 388.10 -71.83 171.10 39.22 -60.14 -15.12
4.31 388.50 -72.45 170.94 38.87 -60.08 -15.28
4.32 388.89 -73.06 170.78 38.51 -60.01 -15.44
4.33 389.28 -73.67 170.63 38.15 -59.94 -15.59
4.34 389.67 -74.29 170.47 37.80 -59.87 -15.75
4.35 390.06 -74.90 170.30 37.44 -59.81 -15.90
4.36 390.44 -75.51 170.14 37.09 -59.74 -16.06
4.37 390.82 -76.12 169.98 36.74 -59.67 -16.21
4.38 391.19 -76.73 169.81 36.38 -59.60 -16.37
4.39 391.56 -77.34 169.64 36.03 -59.53 -16.52
4.40 391.93 -77.95 169.47 35.68 -59.46 -16.67
4.41 392.29 -78.56 169.30 35.33 -59.39 -16.83
4.42 392.65 -79.16 169.13 34.98 -59.32 -16.98
4.43 393.01 -79.77 168.95 34.62 -59.25 -17.13
4.44 393.36 -80.37 168.78 34.27 -59.18 -17.28
4.45 393.71 -80.98 168.60 33.92 -59.11 -17.43
4.46 394.05 -81.58 168.42 33.58 -59.03 -17.58
4.47 394.39 -82.19 168.24 33.23 -58.96 -17.73
4.48 394.73 -82.79 168.06 32.88 -58.89 -17.88
4.49 395.07 -83.39 167.87 32.53 -58.82 -18.03
4.50 395.40 -83.99 167.69 32.18 -58.74 -18.17
4.51 395.72 -84.59 167.50 31.84 -58.67 -18.32
4.52 396.05 -85.19 167.31 31.49 -58.59 -18.47
4.53 396.37 -85.79 167.12 31.15 -58.52 -18.61
4.54 396.68 -86.39 166.93 30.80 -58.44 -18.76
4.55 397.00 -86.99 166.74 30.46 -58.37 -18.90
4.56 397.31 -87.58 166.55 30.11 -58.29 -19.05
4.57 397.61 -88.18 166.35 29.77 -58.22 -19.19
4.58 397.92 -88.77 166.15 29.42 -58.14 -19.34
4.59 398.22 -89.37 165.96 29.08 -58.06 -19.48
4.60 398.51 -89.96 165.76 28.74 -57.99 -19.62
4.61 398.80 -90.55 165.55 28.40 -57.91 -19.77
4.62 399.09 -91.15 165.35 28.05 -57.83 -19.91
4.63 399.38 -91.74 165.15 27.71 -57.75 -20.05
4.64 399.66 -92.33 164.94 27.37 -57.68 -20.19
4.65 399.94 -92.92 164.73 27.03 -57.60 -20.33
4.66 400.21 -93.51 164.53 26.69 -57.52 -20.47
