#t x y z vx vy vz
7.00 48.62 122.35 38.56 38.42 -28.55 22.26
7.07 51.04 120.01 40.36 38.67 -22.53 29.49
7.14 53.24 118.08 42.00 33.02 -20.68 20.08
7.21 55.49 116.00 43.21 36.66 -24.10 20.99
7.29 57.90 114.11 44.57 32.66 -26.62 20.47
7.36 60.30 112.37 45.98 31.13 -25.13 21.96
7.43 62.77 110.71 47.72 31.18 -22.48 26.55
7.50 65.35 109.16 49.57 30.58 -24.16 24.42
7.57 67.86 107.38 51.36 28.68 -26.99 23.10
7.64 70.44 105.62 53.20 31.52 -25.25 30.05
7.71 72.84 104.13 55.22 28.85 -21.50 25.38
7.79 75.01 102.69 56.80 29.15 -20.63 18.79
7.86 77.09 101.25 58.22 30.48 -17.01 18.70
7.93 79.46 99.96 59.71 32.90 -20.25 18.16
8.00 81.81 98.49 60.89 36.45 -17.03 21.55
8.07 83.61 97.88 61.57 37.97 -17.05 22.46
8.14 87.13 96.08 63.99 37.66 -19.88 22.98
8.21 89.78 94.96 65.63 38.01 -17.20 29.84
8.29 92.47 93.72 67.79 41.19 -16.86 35.18
8.36 95.25 92.30 70.11 40.50 -23.34 38.88
8.43 97.89 90.64 72.53 37.93 -22.79 37.09
8.50 100.47 88.87 74.95 34.62 -25.24 32.54
8.57 102.90 86.95 77.16 32.55 -24.97 26.21
8.64 105.18 84.95 79.08 32.44 -25.62 27.04
8.71 107.37 82.91 80.87 31.41 -25.48 19.98
8.79 109.35 80.72 82.43 26.68 -27.37 14.35
8.86 111.53 78.81 83.95 32.93 -25.93 18.96
8.93 113.83 76.87 85.48 32.91 -25.49 21.56
9.00 116.03 75.05 87.12 30.59 -24.28 20.23
9.07 118.18 73.41 88.70 29.26 -24.07 20.10
9.14 120.36 71.68 90.16 30.32 -27.72 19.05
9.21 122.61 69.89 91.57 31.44 -25.35 21.90
9.29 124.85 68.15 93.01 31.52 -25.82 21.36
9.36 127.09 66.39 94.44 28.73 -25.80 17.99
9.43 129.13 64.48 95.72 27.40 -29.38 20.67
9.50 131.06 62.76 97.34 25.30 -22.22 24.11
9.57 132.93 61.48 99.16 26.97 -17.28 27.08
9.64 134.85 60.64 100.89 29.37 -13.48 24.71
9.71 137.05 59.69 102.59 29.14 -14.74 22.09
9.79 139.26 58.54 104.34 32.16 -17.96 24.93
9.86 141.65 57.31 106.11 35.89 -16.32 25.79
9.93 144.18 55.97 108.09 36.75 -17.16 29.77
10.00 146.81 54.38 110.12 38.25 -19.82 31.59
10.07 149.39 52.76 112.30 35.96 -21.78 31.55
10.14 152.17 51.63 114.99 31.19 -19.81 34.89
10.21 154.47 50.50 117.45 33.20 -17.94 32.47
10.29 156.46 48.70 119.24 33.24 -18.36 32.09
10.36 158.87 47.49 121.45 34.08 -16.89 30.06
10.43 161.27 46.10 123.42 34.14 -19.62 24.37
10.50 163.56 44.28 125.20 29.75 -26.72 20.33
10.57 165.81 42.22 126.80 32.24 -31.88 18.16
10.64 168.05 40.07 128.13 30.74 -31.54 17.38
10.71 170.18 38.03 129.45 29.18 -30.45 17.71
10.79 172.13 36.14 130.86 25.13 -23.93 18.39
10.86 173.98 34.54 132.31 25.96 -20.52 18.64
10.93 175.97 33.23 133.81 30.37 -17.48 24.22
11.00 178.18 32.10 135.73 31.86 -17.30 27.25
11.07 180.37 30.82 137.65 30.34 -20.48 26.99
11.14 182.44 29.36 139.53 29.56 -21.88 28.97
11.21 184.52 27.85 141.48 29.83 -22.42 28.91
11.29 186.60 26.34 143.40 29.32 -18.34 28.50
11.36 188.69 24.96 145.34 29.56 -22.67 27.79
